,sentence
0,अमेरिका में जन्मीं अभिनेत्री तथा फैशन डिज़ाइनर जिन्हें आधिकारिक तौर पर लिज़ारे के रूप में जाना जाता हैं उनके बारे में जानने के लिए लिज़ारे मैककॉयमिसिक देखें
1,लीजा रे बंगाली লিসা রায় जन्म  अप्रैल  एक कैनेडियन अभिनेत्री तथा पूर्व फैशन मॉडल हैं
2,  जून  को उनका डाइग्नोसिस करने पर उन्हें मल्टीपल मायेलोमा से ग्रस्त पाया गया और  जुलाई  को उनके उपचार का पहला उपक्रम शुरू किया गया
3, प्रारंभिक जीवन 
4,लीसा रे का जन्म टोरंटो ओंटारियो कनाडा में एक बंगाली भारतीय पिता और एक पोलिश माता के यहां हुआ और वह टोरंटो के एक उपनगर एटोबिकोक में बड़ी हुई. उन्होंने चार उच्चविद्यालयों में पांच वर्षों की पढ़ाई में अकादमिक तौर पर अपनी श्रेष्ठता का परिचय दिया
5, उन्होंने तीन अलगअलग उच्चविद्यालयों एटोबिकोक कॉलेजिएट इंस्टिट्यूट रिचव्यू कॉलेजिएट इंस्टिट्यूट और सिल्वरथॉर्न कॉलेजिएट इंस्टिट्यूट में पढ़ाई की
6,वह अपनी नानी से पोलिश भाषा में बात करती थीं तथा अपने चलचित्रप्रेमी पिता के साथ फेडरिको फेलिनी और सत्यजित राय के फिल्म देखा करती थीं
7, भारत में एक पारिवारिक अवकाश के दौरान एक भीड़ में एक एजेंट के द्वारा रे को देखा गया था
8, उस समय वह  साल की थीं तथा उसी समय उन्होंने मॉडलिंग भी शुरू की थी
9, जीवनवृत्ति 
10,लीसा रे पहली बार लोगों को तब ध्यानाकर्षित किया जब वह बॉम्बे डाइंग के एक विज्ञापन में दिखाई दीं जिसमें वह करन कपूर की विपरीत भूमिका में हाईकट वाली काले रंग की तैराकीपोशाक पहनी हुई थीं
11, इसके बाद वह पत्रकारिता की पढ़ाई के लिए विश्वविद्यालय जाने के उद्देश्य से कनाडा लौटीं लेकिन एक सड़क हादसे ने उनकी योजनाओं पर पानी फेर दिया क्योंकि इस दुर्घटना में उनकी मां घायल हो गई थीं
12, जिसके परिणामस्वरूप वह भारत लौट आईं
13, यहां वह ग्लैड रैग्स के कवर पेज पर लाल रंग की बेवाच शैली वाली एक तैराकीपोशाक पहनी हुई दिखाई दीं
14, इस सनसनी के कारण उन्हें और ज्यादा पत्रिकाओं के कवर पेज पर देखा जाने लगा और वह स्पोक्सपर्सन के डील में भी नज़र आने लगी और अंत में उसने अपने स्वयं के शोव्यवसाय के कार्यक्रम के मेज़बान के रूप में काम भी किया
15, टाइम्स ऑफ़ इंडिया के एक जनमत सर्वेक्षण ने उन्हें सहस्राब्दी की नौवीं सर्वाधिक सुन्दर महिला का नाम दिया
16, वह इस शीर्षदस में एकमात्र मॉडल थीं
17, में उन्होंने नेताजी नामक एक तमिल फिल्म से अपनी पहली सिनेमाई शुरुआत की जिसमें उनके विपरीत अभिनेता सरत कुमार थे
18, इसमें वह एक संक्षिप्त भूमिका में दिखाई दी
19, जिसे अनदेखा कर दिया गया
20, अनगिनत भूमिकाओं के बाद  में कसूर फिल्म के साथ उन्होंने बॉलीवुड में अपना पहला कदम रखा जिसमें उनके विपरीत अभिनेता आफताब शिवदासानी थे
21, बाद में उनकी ध्वनि को दिव्या दत्ता की ध्वनि से डब कर दिया गया क्योंकि वह हिंदी नहीं बोल पाती थीं
22, उस फिल्म में उन्होंने जो काम किया उस पर दीपा मेहता की नज़र पड़ी जिन्होंने  में बॉलीवुड/हॉलीवुड में रूमानी भारतीयकैनेडियन हुड़दंगिन के किरदार के लिए रे को अभिनीत किया
23,  में उन्होंने पुनः मेहता के साथ ऑस्करमनोनीत फिल्म वाटर में काम किया
24, इसमें उन्होंने अपनी पंक्तियों को हिंदी में ही कहा यद्यपि फिल्म को अंतिम रूप देने के समय उनकी ध्वनि को डब कर दिया गया
25, उसके बाद से उन्होंने कनाडा यूरोप और संयुक्त राज्य अमेरिका की फिल्मों में ही काम किया है
26,हाल ही में निभाई गई भूमिकाओं में ऑल हैट में खेत में काम करने वाली एक लड़की ए स्टोंस थ्रो में विद्यालय की एक अध्यापिका द वर्ल्ड अनसीन में  के दशक की रंगभेद वाली दक्षिण अफ्रीका की एक गृहिणी और शमीम सैरिफ द्वारा निर्देशित एवं हास्यपूर्ण ढंग से शीर्षित आइ कांट थिंक स्ट्रेट में एक ईसाईअरब समलैंगिक स्त्री की भूमिका शामिल हैं
27, में उन्होंने किल किल फास्टर फास्टर के चलचित्रण को पूरा किया जो जोएल रोज़ द्वारा इसी नाम से लिखे गए तथा समीक्षात्मक रूप से सराहनीय उपन्यास से प्रेरित एक समकालीन फिल्म नॉइर है
28, में वह नुसरत फ़तेह अली खान की प्रसिद्द गीत आफ़रीं आफ़रीं में दिखाई दीं
29,लीसा रे को हेलो नामक पत्रिका के कैनेडियन संस्करण में देश के ' सर्वाधिक सुंदर लोगों' में से एक के रूप में प्रर्दशित किया गया है
30, व्यक्तिगत जीवन 
31,लीसा रे अपने पुराने साथी तथा अति सफल फैशन फोटोग्राफर पाओलो ज़ैम्बाल्डी के साथ रह रही हैं
32,  जून  को उनका डाइग्नोसिस करने पर उन्हें मल्टीपल मायेलोमा से ग्रस्त पाया गया जो कि प्लाज़्मा कोशिकाओं के रूप में ज्ञात सफ़ेद रक्त कोशिकाओं का एक कैंसर है जो एंटीबॉडी रोगप्रतिकारक क्षमता का उत्पादन करते हैं
33, यह एक दुर्लभ और लाइलाज बीमारी है
34, अवार्ड्स 
35,  टोरंटो अंतर्राष्ट्रीय चलचित्र समारोह में भविष्य का समर्थित सितारा 
36, टाइम्स ऑफ़ इंडिया द्वारा सहस्राब्दी की शीर्षदस सर्वाधिक सुंदर भारतीय महिला 
